#%create_date=2016-07-21 12:30:41
#%chip_type=Immune-response
#%lib_set_name=Immune-response
#%lib_set_version=v1
#%genome-species=Homo sapiens
#%genome-version=hg19
#%genome-version-ucsc=hg19
#%genome-version-ncbi=GRCh37
#%genome-version-create_date=2009-02-00
#%genome-lifted-method=liftOver
#%genome-lifted_from-species=Homo sapiens
#%genome-lifted_from-version-ucsc=hg19
#%genome-lifted_from-version-ncbi=GRCh37
"transcript_cluster_id","probeset_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"GAGE12J_144260","GAGE12J_144260","chrX","+",49179672,49180294,"1","NM_001098406 // GAGE12J // G_antigen_12J // --- // 729396","---","---","---","---","---","---","---","---","1","main"
"GAGE13_116232","GAGE13_116232","chrX","+",49189215,49199337,"1","NM_001098412 // GAGE13 // G_antigen_13 // --- // 645051","---","---","---","---","---","---","---","---","1","main"
"GAGE2C_104217","GAGE2C_104217","chrX","+",49198718,49208889,"1","NM_001472 // GAGE2C,GAGE2A,GAGE2E // G_antigen_2C // --- // 2574 /// NM_001127212 // GAGE2C,GAGE2A,GAGE2E // G_antigen_2C // --- // 729447 /// NM_001127200 // GAGE2C,GAGE2A,GAGE2E // G_antigen_2C // --- // 26749","---","---","---","---","---","---","---","---","1","main"
"GATA3_14061514","GATA3_14061514","chr10","+",8106006,8111488,"1","NM_001002295 // GATA3 // GATA_binding_protein_3 // --- // 2625","---","---","---","---","---","---","---","---","1","main"
"GBP1_771872","GBP1_771872","chr1","+",89523871,89524625,"1","NM_002053 // GBP1 // guanylate_binding_protein_1 // --- // 2633","---","---","---","---","---","---","---","---","1","main"
"GNLY_251357","GNLY_251357","chr2","+",85922492,85923174,"1","NM_006433 // GNLY // granulysin // --- // 10578","---","---","---","---","---","---","---","---","1","main"
"GPR18_238340","GPR18_238340","chr13","+",99908072,99910468,"1","NM_001098200 // GPR18 // G_protein-coupled_receptor_18 // --- // 2841","---","---","---","---","---","---","---","---","1","main"
"GRAP2_283387","GRAP2_283387","chr22","+",40343109,40351892,"1","NM_004810 // GRAP2 // GRB2-related_adaptor_protein_2 // --- // 9402","---","---","---","---","---","---","---","---","1","main"
"GUSB_17671872","GUSB_17671872","chr7","+",65429333,65432754,"1","NM_000181 // GUSB // glucuronidase_beta // --- // 2990","---","---","---","---","---","---","---","---","1","main"
"GZMA_165265","GZMA_165265","chr5","+",54401332,54403653,"1","NM_006144 // GZMA // granzyme_A // --- // 3001","---","---","---","---","---","---","---","---","1","main"
"GZMB_581688","GZMB_581688","chr14","+",25100378,25101170,"1","NM_004131 // GZMB // granzyme_B // --- // 3002","---","---","---","---","---","---","---","---","1","main"
"GZMH_233339","GZMH_233339","chr14","+",25076902,25077568,"1","NM_033423 // GZMH // granzyme_H // --- // 2999","---","---","---","---","---","---","---","---","1","main"
"GZMK_178286","GZMK_178286","chr5","+",54320536,54326311,"1","NM_002104 // GZMK // granzyme_K // --- // 3003","---","---","---","---","---","---","---","---","1","main"
"HAVCR2_594705","HAVCR2_594705","chr5","+",156531684,156533710,"1","NM_032782 // HAVCR2 // hepatitis_A_virus_cellular_receptor_2 // --- // 84868","---","---","---","---","---","---","---","---","1","main"
"HERC6_17021806","HERC6_17021806","chr4","+",89334357,89338664,"1","NM_017912 // HERC6 // HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_family_member_6 // --- // 55008","---","---","---","---","---","---","---","---","1","main"
"HGF_14151518","HGF_14151518","chr7","+",81346578,81350106,"1","NM_000601 // HGF // hepatocyte_growth_factor // --- // 3082","---","---","---","---","---","---","---","---","1","main"
"HIF1A_13371439","HIF1A_13371439","chr14","+",62200885,62203636,"1","NM_001530 // HIF1A // hypoxia_inducible_factor_1_alpha_subunit // --- // 3091","---","---","---","---","---","---","---","---","1","main"
"HLA-A_345445","HLA-A_345445","chr6","+",29910701,29911082,"1","NM_002116 // HLA-A // major_histocompatibility_complex_class_I_A // --- // 3105","---","---","---","---","---","---","---","---","1","main"
"HLA-B_639746","HLA-B_639746","chr6","+",31323275,31323995,"1","NM_005514 // HLA-B // major_histocompatibility_complex_class_I_B // --- // 3106","---","---","---","---","---","---","---","---","1","main"
"HLA-C_9191023","HLA-C_9191023","chr6","+",31237779,31238049,"1","NM_002117 // HLA-C // major_histocompatibility_complex_class_I_C // --- // 3107","---","---","---","---","---","---","---","---","1","main"
"HLA-DMA_764869","HLA-DMA_764869","chr6","+",32916617,32917168,"1","NM_006120 // HLA-DMA // major_histocompatibility_complex_class_II_DM_alpha // --- // 3108","---","---","---","---","---","---","---","---","1","main"
"HLA-DMB_854962","HLA-DMB_854962","chr6","+",32903331,32904998,"1","NM_002118 // HLA-DMB // major_histocompatibility_complex_class_II_DM_beta // --- // 3109","---","---","---","---","---","---","---","---","1","main"
"HLA-DOA_55163","HLA-DOA_55163","chr6","+",32976014,32977356,"1","NM_002119 // HLA-DOA // major_histocompatibility_complex_class_II_DO_alpha // --- // 3111","---","---","---","---","---","---","---","---","1","main"
"HLA-DOB_182290","HLA-DOB_182290","chr6","+",32782967,32784663,"1","NM_002120 // HLA-DOB // major_histocompatibility_complex_class_II_DO_beta // --- // 3112","---","---","---","---","---","---","---","---","1","main"
"HLA-DPA1_129237","HLA-DPA1_129237","chr6","+",33037611,33041344,"1","NM_033554 // HLA-DPA1 // major_histocompatibility_complex_class_II_DP_alpha_1 // --- // 3113","---","---","---","---","---","---","---","---","1","main"
"HLA-DPB1_175280","HLA-DPB1_175280","chr6","+",33043857,33048535,"1","NM_002121 // HLA-DPB1 // major_histocompatibility_complex_class_II_DP_beta_1 // --- // 3115","---","---","---","---","---","---","---","---","1","main"
"HLA-DQA1_587686","HLA-DQA1_587686","chr6","+",32609925,32610428,"1","NM_002122 // HLA-DQA1 // major_histocompatibility_complex_class_II_DQ_alpha_1 // --- // 3117","---","---","---","---","---","---","---","---","1","main"
"HLA-DQA2_840937","HLA-DQA2_840937","chr6","+",32714161,32714477,"1","NM_020056 // HLA-DQA2 // major_histocompatibility_complex_class_II_DQ_alpha_2 // --- // 3118","---","---","---","---","---","---","---","---","1","main"
"HLA-DQB2_142243","HLA-DQB2_142243","chr6","+",32729615,32731207,"1","NM_001198858 // HLA-DQB2 // major_histocompatibility_complex_class_II_DQ_beta_2 // --- // 3120","---","---","---","---","---","---","---","---","1","main"
"HLA-DRA_186294","HLA-DRA_186294","chr6","+",32407783,32410346,"1","NM_019111 // HLA-DRA // major_histocompatibility_complex_class_II_DR_alpha // --- // 3122","---","---","---","---","---","---","---","---","1","main"
"HLA-DRB1_877982","HLA-DRB1_877982","chr6","+",32546758,32548046,"1","NM_002124 // HLA-DRB1 // major_histocompatibility_complex_class_II_DR_beta_1 // --- // 3123","---","---","---","---","---","---","---","---","1","main"
"HLA-E_639747","HLA-E_639747","chr6","+",30458172,30458942,"1","NM_005516 // HLA-E // major_histocompatibility_complex_class_I_E // --- // 3133","---","---","---","---","---","---","---","---","1","main"
"HLA-F_101204","HLA-F_101204","chr6","+",29691197,29691470,"1","NM_001098479 // HLA-F // major_histocompatibility_complex_class_I_F // --- // 3134","---","---","---","---","---","---","---","---","1","main"
"HLA-F-AS1_726834","HLA-F-AS1_726834","chr6","+",29706122,29706385,"1","NR_026972 // HLA-F-AS1 // HLA-F_antisense_RNA_1 // --- // 285830","---","---","---","---","---","---","---","---","1","main"
"HLA-G_483585","HLA-G_483585","chr6","+",29796032,29796407,"1","NM_002127 // HLA-G // major_histocompatibility_complex_class_I_G // --- // 3135","---","---","---","---","---","---","---","---","1","main"
"HMBS_796904","HMBS_796904","chr11","+",118962839,118963227,"1","NM_000190 // HMBS // hydroxymethylbilane_synthase // --- // 3145","---","---","---","---","---","---","---","---","1","main"
"ICAM1_605711","ICAM1_605711","chr19","+",10385635,10394234,"1","NM_000201 // ICAM1 // intercellular_adhesion_molecule_1 // --- // 3383","---","---","---","---","---","---","---","---","1","main"
"ICOS_382487","ICOS_382487","chr2","+",204820593,204821429,"1","NM_012092 // ICOS // inducible_T-cell_costimulator // --- // 29851","---","---","---","---","---","---","---","---","1","main"
"ICOSLG_483588","ICOSLG_483588","chr21","+",45655375,45656826,"1","NM_015259 // ICOSLG // inducible_T-cell_costimulator_ligand // --- // 23308","---","---","---","---","---","---","---","---","1","main"
"ID2_579679","ID2_579679","chr2","+",8822996,8823922,"1","NM_002166 // ID2 // inhibitor_of_DNA_binding_2_HLH_protein // --- // 3398","---","---","---","---","---","---","---","---","1","main"
"ID3_572678","ID3_572678","chr1","+",23885478,23885732,"1","NM_002167 // ID3 // inhibitor_of_DNA_binding_3_HLH_protein // --- // 3399","---","---","---","---","---","---","---","---","1","main"
"IDO1_268369","IDO1_268369","chr8","+",39775433,39775699,"1","NM_002164 // IDO1 // indoleamine_23-dioxygenase_1 // --- // 3620","---","---","---","---","---","---","---","---","1","main"
"IDO2_458562","IDO2_458562","chr8","+",39821180,39836690,"1","NM_194294 // IDO2 // indoleamine_23-dioxygenase_2 // --- // 169355","---","---","---","---","---","---","---","---","1","main"
"IFI27_37143","IFI27_37143","chr14","+",94577093,94578068,"1","NM_005532 // IFI27 // interferon_alpha_inducible_protein_27 // --- // 3429","---","---","---","---","---","---","---","---","1","main"
"IFI35_419526","IFI35_419526","chr17","+",41165119,41165337,"1","NM_005533 // IFI35 // interferon_induced_protein_35 // --- // 3430","---","---","---","---","---","---","---","---","1","main"
"IFI44L_12771376","IFI44L_12771376","chr1","+",79106732,79107194,"1","NM_006820 // IFI44L // interferon_induced_protein_44_like // --- // 10964","---","---","---","---","---","---","---","---","1","main"
"IFI6_47156","IFI6_47156","chr1","+",27995771,27998696,"1","NM_022873 // IFI6 // interferon_alpha_inducible_protein_6 // --- // 2537","---","---","---","---","---","---","---","---","1","main"
"IFIH1_20172123","IFIH1_20172123","chr2","+",163134734,163136550,"1","NM_022168 // IFIH1 // interferon_induced_with_helicase_C_domain_1 // --- // 64135","---","---","---","---","---","---","---","---","1","main"
"IFIT1_158259","IFIT1_158259","chr10","+",91152439,91162151,"1","NM_001548 // IFIT1 // interferon_induced_protein_with_tetratricopeptide_repeats_1 // --- // 3434","---","---","---","---","---","---","---","---","1","main"
"IFIT2_124224","IFIT2_124224","chr10","+",91061803,91065785,"1","NM_001547 // IFIT2 // interferon_induced_protein_with_tetratricopeptide_repeats_2 // --- // 3433","---","---","---","---","---","---","---","---","1","main"
"IFIT3_72174","IFIT3_72174","chr10","+",91092287,91098466,"1","NM_001031683 // IFIT3 // interferon_induced_protein_with_tetratricopeptide_repeats_3 // --- // 3437","---","---","---","---","---","---","---","---","1","main"
"IFITM1_359459","IFITM1_359459","chr11","+",314326,315038,"1","NM_003641 // IFITM1 // interferon_induced_transmembrane_protein_1 // --- // 8519","---","---","---","---","---","---","---","---","1","main"
"IFITM2_316422","IFITM2_316422","chr11","+",308402,309123,"1","NM_006435 // IFITM2 // interferon_induced_transmembrane_protein_2 // --- // 10581","---","---","---","---","---","---","---","---","1","main"
"IFNA17_691788","IFNA17_691788","chr9","+",21227406,21227555,"1","NM_021268 // IFNA17 // interferon_alpha_17 // --- // 3451","---","---","---","---","---","---","---","---","1","main"
"IFNB1_579686","IFNB1_579686","chr9","+",21077235,21077385,"1","NM_002176 // IFNB1 // interferon_beta_1 // --- // 3456","---","---","---","---","---","---","---","---","1","main"
"IFNG_400500","IFNG_400500","chr12","+",68552004,68553371,"1","NM_000619 // IFNG // interferon_gamma // --- // 3458","---","---","---","---","---","---","---","---","1","main"
"IGF1R_12291338","IGF1R_12291338","chr15","+",99442760,99451972,"1","NM_000875 // IGF1R // insulin_like_growth_factor_1_receptor // --- // 3480","---","---","---","---","---","---","---","---","1","main"
"IGSF6_411515","IGSF6_411515","chr16","+",21655678,21658561,"1","NM_005849 // IGSF6 // immunoglobulin_superfamily_member_6 // --- // 10261","---","---","---","---","---","---","---","---","1","main"
"IKZF1_189301","IKZF1_189301","chr7","+",50358656,50367349,"1","NM_006060 // IKZF1 // IKAROS_family_zinc_finger_1 // --- // 10320","---","---","---","---","---","---","---","---","1","main"
"IKZF2_537639","IKZF2_537639","chr2","+",213914512,213921613,"1","NM_016260 // IKZF2 // IKAROS_family_zinc_finger_2 // --- // 22807","---","---","---","---","---","---","---","---","1","main"
"IKZF3_427534","IKZF3_427534","chr17","+",37947769,37949006,"1","NM_012481 // IKZF3 // IKAROS_family_zinc_finger_3 // --- // 22806","---","---","---","---","---","---","---","---","1","main"
"IKZF4_746852","IKZF4_746852","chr12","+",56417501,56418938,"1","NM_022465 // IKZF4 // IKAROS_family_zinc_finger_4 // --- // 64375","---","---","---","---","---","---","---","---","1","main"
"IL10_491598","IL10_491598","chr1","+",206941954,206943204,"1","NM_000572 // IL10 // interleukin_10 // --- // 3586","---","---","---","---","---","---","---","---","1","main"
"IL10RA_192296","IL10RA_192296","chr11","+",117859118,117860206,"1","NM_001558 // IL10RA // interleukin_10_receptor_subunit_alpha // --- // 3587","---","---","---","---","---","---","---","---","1","main"
"IL12A_739842","IL12A_739842","chr3","+",159711519,159713227,"1","NM_000882 // IL12A // interleukin_12A // --- // 3592","---","---","---","---","---","---","---","---","1","main"
"IL12B_314422","IL12B_314422","chr5","+",158749481,158750172,"1","NM_002187 // IL12B // interleukin_12B // --- // 3593","---","---","---","---","---","---","---","---","1","main"
"IL13_268378","IL13_268378","chr5","+",131995422,131995916,"1","NM_002188 // IL13 // interleukin_13 // --- // 3596","---","---","---","---","---","---","---","---","1","main"
"IL15_49155","IL15_49155","chr4","+",142557778,142577363,"1","NM_000585 // IL15 // interleukin_15 // --- // 3600","---","---","---","---","---","---","---","---","1","main"
"IL17A_233320","IL17A_233320","chr6","+",52052534,52053914,"1","NM_002190 // IL17A // interleukin_17A // --- // 3605","---","---","---","---","---","---","---","---","1","main"
"IL17F_35139","IL17F_35139","chr6","+",52103694,52109290,"1","NM_052872 // IL17F // interleukin_17F // --- // 112744","---","---","---","---","---","---","---","---","1","main"
"IL18_140246","IL18_140246","chr11","+",112025726,112034719,"1","NM_001562 // IL18 // interleukin_18 // --- // 3606","---","---","---","---","---","---","---","---","1","main"
"IL1A_14431546","IL1A_14431546","chr2","+",113535570,113537103,"1","NM_000575 // IL1A // interleukin_1_alpha // --- // 3552","---","---","---","---","---","---","---","---","1","main"
"IL1B_659766","IL1B_659766","chr2","+",113588046,113588913,"1","NM_000576 // IL1B // interleukin_1_beta // --- // 3553","---","---","---","---","---","---","---","---","1","main"
"IL2_366451","IL2_366451","chr4","+",123372942,123374930,"1","NM_000586 // IL2 // interleukin_2 // --- // 3558","---","---","---","---","---","---","---","---","1","main"
"IL21_368450","IL21_368450","chr4","+",123534007,123536902,"1","NM_021803 // IL21 // interleukin_21 // --- // 59067","---","---","---","---","---","---","---","---","1","main"
"IL22_263349","IL22_263349","chr12","+",68646361,68646609,"1","NM_020525 // IL22 // interleukin_22 // --- // 50616","---","---","---","---","---","---","---","---","1","main"
"IL23A_386491","IL23A_386491","chr12","+",56733242,56733556,"1","NM_016584 // IL23A // interleukin_23_subunit_alpha // --- // 51561","---","---","---","---","---","---","---","---","1","main"
"IL2RA_240338","IL2RA_240338","chr10","+",6067907,6104118,"1","NM_000417 // IL2RA // interleukin_2_receptor_subunit_alpha // --- // 3559","---","---","---","---","---","---","---","---","1","main"
"IL2RB_9991107","IL2RB_9991107","chr22","+",37524795,37528479,"1","NM_000878 // IL2RB // interleukin_2_receptor_subunit_beta // --- // 3560","---","---","---","---","---","---","---","---","1","main"
"IL2RG_884988","IL2RG_884988","chrX","+",70328128,70328528,"1","NM_000206 // IL2RG // interleukin_2_receptor_subunit_gamma // --- // 3561","---","---","---","---","---","---","---","---","1","main"
"IL3RA_465565","IL3RA_465565","chrX","+",1464239,1467383,"1","NM_002183 // IL3RA // interleukin_3_receptor_subunit_alpha // --- // 3563","---","---","---","---","---","---","---","---","1","main"
"IL4_380477","IL4_380477","chr5","+",132015518,132018254,"1","NM_000589 // IL4 // interleukin_4 // --- // 3565","---","---","---","---","---","---","---","---","1","main"
"IL6_521626","IL6_521626","chr7","+",22769187,22771081,"1","NM_000600 // IL6 // interleukin_6 // --- // 3569","---","---","---","---","---","---","---","---","1","main"
"IL7_545652","IL7_545652","chr8","+",79710378,79717232,"1","NM_000880 // IL7 // interleukin_7 // --- // 3574","---","---","---","---","---","---","---","---","1","main"
"IL7R_551658","IL7R_551658","chr5","+",35871203,35873618,"1","NM_002185 // IL7R // interleukin_7_receptor // --- // 3575","---","---","---","---","---","---","---","---","1","main"
"IRF1_752861","IRF1_752861","chr5","+",131821961,131822293,"1","NM_002198 // IRF1 // interferon_regulatory_factor_1 // --- // 3659","---","---","---","---","---","---","---","---","1","main"
"IRF4_786895","IRF4_786895","chr6","+",398830,401467,"1","NM_002460 // IRF4 // interferon_regulatory_factor_4 // --- // 3662","---","---","---","---","---","---","---","---","1","main"
"IRF9_12191322","IRF9_12191322","chr14","+",24635134,24635442,"1","NM_006084 // IRF9 // interferon_regulatory_factor_9 // --- // 10379","---","---","---","---","---","---","---","---","1","main"
"IRS1_37283828","IRS1_37283828","chr2","+",227600915,227659797,"1","NM_005544 // IRS1 // insulin_receptor_substrate_1 // --- // 3667","---","---","---","---","---","---","---","---","1","main"
"ISG15_66173","ISG15_66173","chr1","+",948890,949446,"1","NM_005101 // ISG15 // ISG15_ubiquitin-like_modifier // --- // 9636","---","---","---","---","---","---","---","---","1","main"
"ISG20_642750","ISG20_642750","chr15","+",89195441,89198691,"1","NM_002201 // ISG20 // interferon_stimulated_exonuclease_gene_20 // --- // 3669","---","---","---","---","---","---","---","---","1","main"
"ITGA1_814914","ITGA1_814914","chr5","+",52177817,52183758,"1","NM_181501 // ITGA1 // integrin_subunit_alpha_1 // --- // 3672","---","---","---","---","---","---","---","---","1","main"
"ITGAE_33753481","ITGAE_33753481","chr17","+",3620022,3623679,"1","NM_002208 // ITGAE // integrin_subunit_alpha_E // --- // 3682","---","---","---","---","---","---","---","---","1","main"
"ITGAL_535638","ITGAL_535638","chr16","+",30490424,30490695,"1","NM_002209 // ITGAL // integrin_subunit_alpha_L // --- // 3683","---","---","---","---","---","---","---","---","1","main"
"ITGAM_31033209","ITGAM_31033209","chr16","+",31341408,31341700,"1","NM_001145808 // ITGAM // integrin_subunit_alpha_M // --- // 3684","---","---","---","---","---","---","---","---","1","main"
"ITGAX_20482151","ITGAX_20482151","chr16","+",31382767,31383048,"1","NM_000887 // ITGAX // integrin_subunit_alpha_X // --- // 3687","---","---","---","---","---","---","---","---","1","main"
"ITGB1_679777","ITGB1_679777","chr10","+",33215004,33217137,"1","NM_002211 // ITGB1 // integrin_subunit_beta_1 // --- // 3688","---","---","---","---","---","---","---","---","1","main"
"ITGB2_15421648","ITGB2_15421648","chr21","+",46310111,46311845,"1","NM_000211 // ITGB2 // integrin_subunit_beta_2 // --- // 3689","---","---","---","---","---","---","---","---","1","main"
"ITGB7_24342544","ITGB7_24342544","chr12","+",53585312,53585684,"1","NM_000889 // ITGB7 // integrin_subunit_beta_7 // --- // 3695","---","---","---","---","---","---","---","---","1","main"
"ITK_563669","ITK_563669","chr5","+",156644879,156649983,"1","NM_005546 // ITK // IL2_inducible_T-cell_kinase // --- // 3702","---","---","---","---","---","---","---","---","1","main"
"JAML_78188","JAML_78188","chr11","+",118085546,118095750,"1","NM_001098526 // JAML // junction_adhesion_molecule_like // --- // 120425","---","---","---","---","---","---","---","---","1","main"
"JCHAIN_134238","JCHAIN_134238","chr4","+",71527878,71532239,"1","NM_144646 // JCHAIN // joining_chain_of_multimeric_IgA_and_IgM // --- // 3512","---","---","---","---","---","---","---","---","1","main"
"KIAA0101_319426","KIAA0101_319426","chr15","+",64658248,64669063,"1","NM_014736 // KIAA0101 // KIAA0101 // --- // 9768","---","---","---","---","---","---","---","---","1","main"
"KIR2DL1_9142","KIR2DL1_9142","chr19","+",55281256,55284838,"1","NM_014218 // KIR2DL1 // killer_cell_immunoglobulin_like_receptor_two_Ig_domains_and_long_cytoplasmic_tail_1 // --- // 3802","---","---","---","---","---","---","---","---","1","main"
"KIR2DL2_27126","KIR2DL2_27126","chr19","+",55249989,55284828,"1","NM_014218 // KIR2DL2 // killer_cell_immunoglobulin_like_receptor_two_Ig_domains_and_long_cytoplasmic_tail_2 // --- // 3803","---","---","---","---","---","---","---","---","1","main"
"KIR2DL3_654757","KIR2DL3_654757","chr19","+",55255469,55263124,"1","NM_015868 // KIR2DL3 // killer_cell_immunoglobulin_like_receptor_two_Ig_domains_and_long_cytoplasmic_tail_3 // --- // 3804","---","---","---","---","---","---","---","---","1","main"
"KLF2_9111017","KLF2_9111017","chr19","+",16436759,16437724,"1","NM_016270 // KLF2 // Kruppel_like_factor_2 // --- // 10365","---","---","---","---","---","---","---","---","1","main"
"KLRB1_177284","KLRB1_177284","chr12","+",9752377,9754185,"1","NM_002258 // KLRB1 // killer_cell_lectin_like_receptor_B1 // --- // 3820","---","---","---","---","---","---","---","---","1","main"
"KLRD1_515619","KLRD1_515619","chr12","+",10464128,10466071,"1","NM_002262 // KLRD1 // killer_cell_lectin_like_receptor_D1 // --- // 3824","---","---","---","---","---","---","---","---","1","main"
"KLRF1_188285","KLRF1_188285","chr12","+",9984923,9985960,"1","NM_016523 // KLRF1 // killer_cell_lectin_like_receptor_F1 // --- // 51348","---","---","---","---","---","---","---","---","1","main"
"KLRG1_410518","KLRG1_410518","chr12","+",9161591,9162090,"1","NM_005810 // KLRG1 // killer_cell_lectin_like_receptor_G1 // --- // 10219","---","---","---","---","---","---","---","---","1","main"
"KLRK1_698804","KLRK1_698804","chr12","+",10525714,10530762,"1","NM_007360 // KLRK1 // killer_cell_lectin_like_receptor_K1 // --- // 22914","---","---","---","---","---","---","---","---","1","main"
"KREMEN1_12861389","KREMEN1_12861389","chr22","+",29536307,29538033,"1","NM_032045 // KREMEN1 // kringle_containing_transmembrane_protein_1 // --- // 83999","---","---","---","---","---","---","---","---","1","main"
"KRT5_10631165","KRT5_10631165","chr12","+",52911441,52911731,"1","NM_000424 // KRT5 // keratin_5 // --- // 3852","---","---","---","---","---","---","---","---","1","main"
"KRT7_440543","KRT7_440543","chr12","+",52627370,52629051,"1","NM_005556 // KRT7 // keratin_7 // --- // 3855","---","---","---","---","---","---","---","---","1","main"
"LAG3_13111419","LAG3_13111419","chr12","+",6884597,6886461,"1","NM_002286 // LAG3 // lymphocyte_activating_3 // --- // 3902","---","---","---","---","---","---","---","---","1","main"
"LAMP1_374485","LAMP1_374485","chr13","+",113960811,113963996,"1","NM_005561 // LAMP1 // lysosomal_associated_membrane_protein_1 // --- // 3916","---","---","---","---","---","---","---","---","1","main"
"LAMP3_12361344","LAMP3_12361344","chr3","+",182841977,182853627,"1","NM_014398 // LAMP3 // lysosomal_associated_membrane_protein_3 // --- // 27074","---","---","---","---","---","---","---","---","1","main"
"LAPTM5_555664","LAPTM5_555664","chr1","+",31210462,31211850,"1","NM_006762 // LAPTM5 // lysosomal_protein_transmembrane_5 // --- // 7805","---","---","---","---","---","---","---","---","1","main"
"LCK_89192","LCK_89192","chr1","+",32739778,32740024,"1","NM_001042771 // LCK // LCK_proto-oncogene_Src_family_tyrosine_kinase // --- // 3932","---","---","---","---","---","---","---","---","1","main"
"LCN2_153259","LCN2_153259","chr9","+",130911864,130912586,"1","NM_005564 // LCN2 // lipocalin_2 // --- // 3934","---","---","---","---","---","---","---","---","1","main"
"LEXM_10551156","LEXM_10551156","chr1","+",55280644,55282731,"1","NM_001110533 // LEXM // lymphocyte_expansion_molecule // --- // 163747","---","---","---","---","---","---","---","---","1","main"
"LILRB1_15681666","LILRB1_15681666","chr19","+",55146110,55146589,"1","NM_001081637 // LILRB1 // leukocyte_immunoglobulin_like_receptor_B1 // --- // 10859","---","---","---","---","---","---","---","---","1","main"
"LILRB2_891994","LILRB2_891994","chr19","+",54782872,54783255,"1","NM_001080978 // LILRB2 // leukocyte_immunoglobulin_like_receptor_B2 // --- // 10288","---","---","---","---","---","---","---","---","1","main"
"LMNA_588696","LMNA_588696","chr1","+",156085027,156100517,"1","NM_170707 // LMNA // lamin_A_C // --- // 4000","---","---","---","---","---","---","---","---","1","main"
"LRG1_24131","LRG1_24131","chr19","+",4538855,4540033,"1","NM_052972 // LRG1 // leucine_rich_alpha-2-glycoprotein_1 // --- // 116844","---","---","---","---","---","---","---","---","1","main"
"LRP1_25642670","LRP1_25642670","chr12","+",57554773,57556123,"1","NM_002332 // LRP1 // LDL_receptor_related_protein_1 // --- // 4035","---","---","---","---","---","---","---","---","1","main"
"LST1_22120","LST1_22120","chr6","+",31554976,31555440,"1","NM_007161 // LST1 // leukocyte_specific_transcript_1 // --- // 7940","---","---","---","---","---","---","---","---","1","main"
"LY9_13751476","LY9_13751476","chr1","+",160786547,160788050,"1","NM_002348 // LY9 // lymphocyte_antigen_9 // --- // 4063","---","---","---","---","---","---","---","---","1","main"
"LYZ_120222","LYZ_120222","chr12","+",69742233,69743943,"1","NM_000239 // LYZ // lysozyme // --- // 4069","---","---","---","---","---","---","---","---","1","main"
"M6PR_229336","M6PR_229336","chr12","+",9098917,9102149,"1","NM_002355 // M6PR // mannose-6-phosphate_receptor_cation_dependent // --- // 4074","---","---","---","---","---","---","---","---","1","main"
"MAD2L1_115221","MAD2L1_115221","chr4","+",120986925,120987917,"1","NM_002358 // MAD2L1 // MAD2_mitotic_arrest_deficient-like_1_yeast // --- // 4085","---","---","---","---","---","---","---","---","1","main"
"MADCAM1_9291024","MADCAM1_9291024","chr19","+",501900,504850,"1","NM_130760 // MADCAM1 // mucosal_vascular_addressin_cell_adhesion_molecule_1 // --- // 8174","---","---","---","---","---","---","---","---","1","main"
"MAGEA1_22129","MAGEA1_22129","chrX","+",152483157,152486116,"1","NM_004988 // MAGEA1 // MAGE_family_member_A1 // --- // 4100","---","---","---","---","---","---","---","---","1","main"
"MAGEA10_241320","MAGEA10_241320","chrX","+",151304090,151304290,"1","NM_021048 // MAGEA10 // MAGE_family_member_A10 // --- // 4109","---","---","---","---","---","---","---","---","1","main"
"MAGEA12_30130","MAGEA12_30130","chrX","+",151900809,151903174,"1","NM_005367 // MAGEA12 // MAGE_family_member_A12 // --- // 4111","---","---","---","---","---","---","---","---","1","main"
"MAGEA3_20121","MAGEA3_20121","chrX","+",151936312,151938240,"1","NM_005362 // MAGEA3 // MAGE_family_member_A3 // --- // 4102 /// NM_005363 // MAGEA3 // MAGE_family_member_A3 // --- // 4105","---","---","---","---","---","---","---","---","1","main"
"MAGEA4_28131","MAGEA4_28131","chrX","+",151081369,151091994,"1","NM_001011548 // MAGEA4 // MAGE_family_member_A4 // --- // 4103","---","---","---","---","---","---","---","---","1","main"
"MAGEC2_249358","MAGEC2_249358","chrX","+",141291745,141292201,"1","NM_016249 // MAGEC2 // MAGE_family_member_C2 // --- // 51438","---","---","---","---","---","---","---","---","1","main"
"MAPK1_13241425","MAPK1_13241425","chr22","+",22118413,22123516,"1","NM_002745 // MAPK1 // mitogen-activated_protein_kinase_1 // --- // 5594","---","---","---","---","---","---","---","---","1","main"
"MAPK14_14031511","MAPK14_14031511","chr6","+",36075293,36076191,"1","NM_139012 // MAPK14 // mitogen-activated_protein_kinase_14 // --- // 1432","---","---","---","---","---","---","---","---","1","main"
"MELK_300401","MELK_300401","chr9","+",36583652,36589624,"1","NM_014791 // MELK // maternal_embryonic_leucine_zipper_kinase // --- // 9833","---","---","---","---","---","---","---","---","1","main"
"MIF_157270","MIF_157270","chr2","+",24236704,24237040,"1","NM_002415 // MIF // macrophage_migration_inhibitory_factor_glycosylation-inhibiting_factor // --- // 4282","---","---","---","---","---","---","---","---","1","main"
